Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,ADANIGREEN,EQ,1117.7,1103.0,1152.05,1103.0,1139.6,1141.45,1131.94,956638,108285433034999.98,32755,535147,0.5594
2021-02-23,ADANIGREEN,EQ,1141.45,1161.2,1198.5,1161.0,1198.5,1196.2,1195.09,5405934,646055630885000.0,48163,3387856,0.6267
2021-02-24,ADANIGREEN,EQ,1196.2,1209.7,1209.7,1159.0,1161.5,1169.35,1180.9,494155,58354732750000.0,20393,258405,0.5229
2021-02-25,ADANIGREEN,EQ,1169.35,1174.6,1192.0,1117.45,1131.0,1128.55,1151.89,678592,78166638440000.0,33657,439065,0.647
2021-02-26,ADANIGREEN,EQ,1128.55,1125.0,1184.95,1101.55,1148.0,1159.85,1157.14,6662742,770974506045000.0,63026,4198961,0.6302000000000001
2021-03-01,ADANIGREEN,EQ,1159.85,1170.0,1170.0,1130.15,1144.8,1141.0,1147.99,448402,51476289690000.0,33363,267258,0.596
2021-03-02,ADANIGREEN,EQ,1141.0,1155.0,1175.0,1134.0,1172.0,1164.85,1154.39,521226,60169553665000.0,29989,303818,0.5829
2021-03-03,ADANIGREEN,EQ,1164.85,1178.9,1190.0,1162.05,1171.0,1176.3,1175.76,494659,58160270685000.0,23170,274694,0.5553
2021-03-04,ADANIGREEN,EQ,1176.3,1176.0,1198.0,1165.0,1182.8,1184.65,1183.72,641914,75984825330000.0,22843,362639,0.5649000000000001
2021-03-05,ADANIGREEN,EQ,1184.65,1178.9,1206.0,1162.0,1169.7,1172.75,1180.67,595718,70334651804999.99,29157,318471,0.5346000000000001
2021-03-08,ADANIGREEN,EQ,1172.75,1178.0,1185.0,1162.25,1171.8,1171.6,1171.22,267891,31375988414999.996,17280,154806,0.5779
2021-03-09,ADANIGREEN,EQ,1171.6,1179.95,1179.95,1135.0,1167.0,1166.2,1162.78,332177,38624815460000.0,17754,184519,0.5555
2021-03-10,ADANIGREEN,EQ,1166.2,1165.5,1192.1,1165.5,1184.05,1185.65,1182.49,483563,57180730079999.99,20340,295799,0.6117
2021-03-12,ADANIGREEN,EQ,1185.65,1200.0,1200.0,1154.2,1158.65,1160.6,1176.11,296923,34921511860000.004,18732,175131,0.5898
2021-03-15,ADANIGREEN,EQ,1160.6,1179.0,1205.0,1135.25,1205.0,1193.1,1176.26,453478,53340813370000.0,23624,252382,0.5565
2021-03-16,ADANIGREEN,EQ,1193.1,1209.9,1244.4,1206.3,1220.0,1219.8,1223.64,648757,79384550935000.0,25603,345423,0.5324
2021-03-17,ADANIGREEN,EQ,1219.8,1229.85,1240.0,1158.85,1163.0,1164.3,1186.01,407312,48307540725000.0,26493,234105,0.5748
2021-03-18,ADANIGREEN,EQ,1164.3,1179.4,1183.0,1120.1,1142.0,1135.85,1152.09,269255,31020573730000.0,18164,121452,0.4511
2021-03-19,ADANIGREEN,EQ,1135.85,1129.9,1192.6,1081.1,1192.6,1192.6,1157.77,622620,72085212640000.0,41971,359380,0.5772
